TS, DPE, VALUE
13-10-2017 01:39:46.89100000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:39:56.91900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:39:56.91900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.3E+001
13-10-2017 01:39:56.91900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:40:01.14400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-3.8933645524844573E-002
13-10-2017 01:40:01.14400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:40:01.14400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,7.7867291049689147E-002
13-10-2017 01:40:01.14400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:40:01.14400000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,3.8933645524844573E-002
13-10-2017 01:40:02.14900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.4E+001
13-10-2017 01:40:02.14900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:40:02.14900000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:40:12.17800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
13-10-2017 01:40:12.17800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.5E+001
13-10-2017 01:40:12.17800000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:40:16.70200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Nominal_Separation,9.3440749259626976E-002
13-10-2017 01:40:16.70200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,IDLE
13-10-2017 01:40:16.70200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B1_sepPlane,4.6720374629813488E-002
13-10-2017 01:40:16.70200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Set_Nominal_Displacement_B2_sepPlane,-4.6720374629813488E-002
13-10-2017 01:40:16.70200000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,9.999E+003
13-10-2017 01:40:17.70600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,1.0E+000
13-10-2017 01:40:17.70600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,ACQUIRING
13-10-2017 01:40:17.70600000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.6E+001
13-10-2017 01:40:27.73500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.LumiScan_Status,TRIMMING
13-10-2017 01:40:27.73500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Step,3.7E+001
13-10-2017 01:40:27.73500000,LHC:LHCCOM/LHC.LHC.Beam.AutomaticScan.Acquisition_Flag,0
